Time (s);Angle (rad);Angular Velocity (rad/s);Angular Acceleration (rad/s²);Position (m);Velocity (m/s);Acceleration (m/s²)
0,020;0,005;;;1,1250E-4;;
0,040;0,008;0,157;;1,8750E-4;0,004;
0,060;0,011;0,236;3,600;2,6250E-4;0,006;0,086
0,080;0,017;0,301;3,382;4,1250E-4;0,007;0,081
0,100;0,024;0,367;3,272;5,6250E-4;0,009;0,078
0,120;0,031;0,432;3,163;7,5000E-4;0,010;0,076
0,140;0,041;0,497;2,945;9,7500E-4;0,012;0,070
0,160;0,052;0,550;2,727;0,0012;0,013;0,065
0,180;0,063;0,602;2,727;0,0015;0,014;0,065
0,200;0,075;0,654;2,945;0,0018;0,016;0,070
0,220;0,090;0,720;3,163;0,0021;0,017;0,076
0,240;0,104;0,785;3,163;0,0025;0,019;0,076
0,260;0,121;0,851;2,945;0,0029;0,020;0,070
0,280;0,138;0,903;2,836;0,0033;0,022;0,068
0,300;0,157;0,956;2,945;0,0038;0,023;0,070
0,320;0,176;1,021;3,163;0,0042;0,024;0,076
0,340;0,198;1,086;3,163;0,0047;0,026;0,076
0,360;0,220;1,152;3,054;0,0053;0,028;0,073
0,380;0,243;1,204;3,054;0,0058;0,029;0,073
0,400;0,269;1,270;3,163;0,0064;0,030;0,076
0,420;0,294;1,335;3,163;0,0070;0,032;0,076
0,440;0,322;1,401;2,945;0,0077;0,033;0,070
0,460;0,350;1,453;2,836;0,0084;0,035;0,068
0,480;0,380;1,505;2,945;0,0091;0,036;0,070
0,500;0,410;1,571;3,054;0,0098;0,037;0,073
0,520;0,443;1,636;2,945;0,0106;0,039;0,070
0,540;0,476;1,689;2,836;0,0114;0,040;0,068
0,560;0,511;1,741;2,945;0,0122;0,042;0,070
0,580;0,545;1,806;3,163;0,0130;0,043;0,076
0,600;0,583;1,872;3,163;0,0139;0,045;0,076
0,620;0,620;1,937;3,054;0,0148;0,046;0,073
0,640;0,660;1,990;3,054;0,0157;0,048;0,073
0,660;0,701;2,055;3,054;0,0167;0,049;0,073
0,680;0,741;2,121;2,945;0,0177;0,051;0,070
0,700;0,785;2,173;2,727;0,0187;0,052;0,065
0,720;0,829;2,225;2,727;0,0198;0,053;0,065
0,740;0,873;2,278;2,945;0,0208;0,054;0,070
0,760;0,920;2,343;3,054;0,0220;0,056;0,073
0,780;0,968;2,409;2,945;0,0231;0,057;0,070
0,800;1,016;2,461;2,727;0,0243;0,059;0,065
0,820;1,067;2,513;2,727;0,0255;0,060;0,065
0,840;1,117;2,566;3,054;0,0267;0,061;0,073
