Date and Time;Time (s);Angle (rad);Angular Velocity (rad/s);Angular Acceleration (rad/s²);Position (m);Velocity (m/s);Acceleration (m/s²)
04/29/2026 03:13:47 pm;0,020;0,002;;;3,7500E-5;;
04/29/2026 03:13:47 pm;0,040;0,009;0,511;;2,2500E-4;0,012;
04/29/2026 03:13:47 pm;0,060;0,022;0,798;14,399;5,2500E-4;0,019;0,344
04/29/2026 03:13:47 pm;0,080;0,041;1,086;14,399;9,7500E-4;0,026;0,344
04/29/2026 03:13:47 pm;0,100;0,066;1,374;14,399;0,0016;0,033;0,344
04/29/2026 03:13:47 pm;0,120;0,096;1,662;14,399;0,0023;0,040;0,344
04/29/2026 03:13:47 pm;0,140;0,132;1,950;14,290;0,0032;0,047;0,341
04/29/2026 03:13:47 pm;0,160;0,174;2,238;14,072;0,0042;0,053;0,336
04/29/2026 03:13:47 pm;0,180;0,221;2,513;13,963;0,0053;0,060;0,333
04/29/2026 03:13:47 pm;0,200;0,275;2,788;14,072;0,0066;0,067;0,336
04/29/2026 03:13:47 pm;0,220;0,333;3,076;14,290;0,0080;0,073;0,341
04/29/2026 03:13:47 pm;0,240;0,397;3,364;14,399;0,0095;0,080;0,344
04/29/2026 03:13:47 pm;0,260;0,468;3,652;14,399;0,0112;0,087;0,344
04/29/2026 03:13:47 pm;0,280;0,543;3,940;14,399;0,0130;0,094;0,344
04/29/2026 03:13:47 pm;0,300;0,625;4,228;14,399;0,0149;0,101;0,344
04/29/2026 03:13:47 pm;0,320;0,713;4,516;14,399;0,0170;0,108;0,344
04/29/2026 03:13:47 pm;0,340;0,806;4,804;14,399;0,0192;0,115;0,344
04/29/2026 03:13:47 pm;0,360;0,905;5,092;14,290;0,0216;0,122;0,341
04/29/2026 03:13:47 pm;0,380;1,010;5,380;14,072;0,0241;0,128;0,336
04/29/2026 03:13:47 pm;0,400;1,120;5,655;13,854;0,0267;0,135;0,331
04/29/2026 03:13:47 pm;0,420;1,236;5,930;13,744;0,0295;0,142;0,328
04/29/2026 03:13:47 pm;0,440;1,357;6,205;13,854;0,0324;0,148;0,331
04/29/2026 03:13:47 pm;0,460;1,484;6,480;13,963;0,0354;0,155;0,333
04/29/2026 03:13:47 pm;0,480;1,616;6,768;13,854;0,0386;0,162;0,331
04/29/2026 03:13:47 pm;0,500;1,755;7,042;13,526;0,0419;0,168;0,323
04/29/2026 03:13:47 pm;0,520;1,899;7,304;13,199;0,0453;0,174;0,315
04/29/2026 03:13:47 pm;0,540;2,047;7,566;13,199;0,0489;0,181;0,315
04/29/2026 03:13:47 pm;0,560;2,201;7,828;13,308;0,0525;0,187;0,318
04/29/2026 03:13:47 pm;0,580;2,361;8,103;13,417;0,0564;0,193;0,320
04/29/2026 03:13:47 pm;0,600;2,524;8,364;13,635;0,0603;0,200;0,326
04/29/2026 03:13:47 pm;0,620;2,695;8,639;13,854;0,0643;0,206;0,331
04/29/2026 03:13:47 pm;0,640;2,870;8,927;13,963;0,0685;0,213;0,333
04/29/2026 03:13:47 pm;0,660;3,052;9,202;13,854;0,0729;0,220;0,331
04/29/2026 03:13:47 pm;0,680;3,239;9,477;13,854;0,0773;0,226;0,331
04/29/2026 03:13:47 pm;0,700;3,431;9,752;14,181;0,0819;0,233;0,339
04/29/2026 03:13:47 pm;0,720;3,629;10,040;14,617;0,0866;0,240;0,349
04/29/2026 03:13:47 pm;0,740;3,833;10,341;14,835;0,0915;0,247;0,354
04/29/2026 03:13:47 pm;0,760;4,042;10,642;14,617;0,0965;0,254;0,349
04/29/2026 03:13:47 pm;0,780;4,258;10,930;14,181;0,1017;0,261;0,339
04/29/2026 03:13:47 pm;0,800;4,480;11,205;13,963;0,1069;0,267;0,333
04/29/2026 03:13:47 pm;0,820;4,706;11,480;13,963;0,1123;0,274;0,333
04/29/2026 03:13:47 pm;0,840;4,939;11,768;13,854;0,1179;0,281;0,331
04/29/2026 03:13:47 pm;0,860;5,177;12,043;13,526;0,1236;0,287;0,323
